,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Odweyne,SO,62.08,clear sky,9.4092,45.064,Eng Hiirey House
432,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
433,Bengkulu,ID,80.38,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
437,Byron Bay,AU,88.72,overcast clouds,-28.65,153.6167,Backpackers Inn
440,Raga,SS,67.57,clear sky,8.4596,25.678,
444,Colares,PT,65.34,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
445,Kumbo,CM,58.95,few clouds,6.2,10.6667,Western Inn Resort
447,San Quintin,MX,59.97,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
450,Seminole,US,65.37,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
451,Arrifes,PT,65.23,very heavy rain,37.7667,-25.7,Hotel Ponta Delgada
455,Jacareacanga,BR,75.58,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
456,Birin,NP,51.46,clear sky,26.8865,88.0718,Sangam Hospitality
457,Mudgee,AU,63.79,light rain,-32.5943,149.5871,Parklands Resort & Conference Centre
459,Olavarria,AR,61.56,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
461,Villazon,BO,53.01,overcast clouds,-22.0866,-65.5942,La Candelaria
462,Matadi,CD,72.41,light rain,-5.8167,13.45,Hotel Vivi Palace
464,Ampanihy,MG,76.89,broken clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
465,Isiro,CD,67.35,broken clouds,2.7739,27.616,Guest House Hewa Bora
466,Kieta,PG,84.58,light rain,-6.2167,155.6333,Uruna Bay Retreat
467,Bandar-E Lengeh,IR,62.71,clear sky,26.5579,54.8807,کافی نت پارس
470,Alvinopolis,BR,67.84,moderate rain,-20.1067,-43.0489,Hotel São Geraldo
473,Tigzirt,DZ,62.38,light rain,36.8886,4.1198,Bloc D tazoumbirt (amar)
474,Tucuman,AR,73.4,clear sky,-26.8241,-65.2226,Hotel Premier
475,Karimpur,IN,67.14,clear sky,23.9667,88.6167,gabrudanga jumma masjid
478,Marakkanam,IN,77.74,heavy intensity rain,12.2,79.95,OYO 73765 Ocean Breeze Guest House
480,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
482,Katsuura,JP,52.29,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
484,Ascension,US,68.07,scattered clouds,30.2169,-90.9001,Highland Inn
485,Key Largo,US,73.98,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
488,Tura,IN,63.1,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
489,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
490,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Asterión Departamentos
491,Marzuq,YE,57.56,clear sky,14.4,46.4667,حيد القفلة
493,Naze,JP,63.52,scattered clouds,28.3667,129.4833,Shishime Hotel
496,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
500,Mwinilunga,ZM,62.67,light rain,-11.7358,24.4293,Kwakuwahi Lodge
501,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
502,Tiarei,PF,71.62,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
503,Kikwit,CD,69.55,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
504,Port Augusta,AU,70.83,clear sky,-32.5,137.7667,Majestic Oasis Apartments
505,Hokitika,NZ,64.22,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
507,Kabarnet,KE,54.16,scattered clouds,0.4919,35.743,Valley-Inn Hotel
510,Biloela,AU,89.29,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
511,Santa Fe,AR,89.02,light rain,-31.6333,-60.7,Conquistador Hotel
516,Bontang,ID,83.34,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
519,Dicabisagan,PH,81.45,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
520,Lichinga,MZ,62.69,broken clouds,-13.3128,35.2406,Residencial Bendiak
522,Finote Selam,ET,55.49,clear sky,10.7,37.2667,National hotel
523,El Penol,CO,58.53,light rain,1.4599,-77.4454,Finca La Dinastía
525,Juan Lacaze,UY,74.12,broken clouds,-34.4342,-57.4381,El templo de Papal
527,Nizwa,OM,60.19,clear sky,22.9333,57.5333,Orient Apartments
528,Atambua,ID,85.71,broken clouds,-9.1061,124.8925,Ros Muskanan
530,Caramay,PH,81.01,overcast clouds,10.1815,119.236,Peace and Love Beach Club
533,Ekuvukeni,ZA,62.6,light rain,-28.4675,30.1551,Sibeko Resident
534,Kiunga,PG,89.29,light rain,-6.1219,141.2906,Airport Lodge Kiunga
535,Fatehpur,IN,60.31,few clouds,25.9333,80.8,Hotel Bombay Lodge
